[span_L5_s21_c1_z1_T1] start fitness 2999 / 4096  (CZ layer 1, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 05:18:38] span_L5_s21_c1_z1_T1   1530s  best 3881/4096  current 3797  kicks 19  iters 51816762 (33877/s)  best: cx 26 tof 18
[2026-09-25 05:18:49] span_L5_s21_c1_z1_T1   1540s  best 3881/4096  current 3725  kicks 20  iters 52170288 (33883/s)  best: cx 26 tof 18
[2026-09-25 05:19:03] span_L5_s21_c1_z1_T1   1554s  best 3881/4096  current 3749  kicks 20  iters 52702244 (33908/s)  best: cx 26 tof 18
[2026-09-25 05:19:13] span_L5_s21_c1_z1_T1   1564s  best 3881/4096  current 3749  kicks 20  iters 53076617 (33930/s)  best: cx 26 tof 18
[2026-09-25 05:19:23] span_L5_s21_c1_z1_T1   1574s  best 3881/4096  current 3749  kicks 20  iters 53448659 (33948/s)  best: cx 26 tof 18
[2026-09-25 05:19:33] span_L5_s21_c1_z1_T1   1584s  best 3881/4096  current 3773  kicks 20  iters 53820715 (33968/s)  best: cx 26 tof 18
[2026-09-25 05:19:48] span_L5_s21_c1_z1_T1   1599s  best 3881/4096  current 3773  kicks 20  iters 54371234 (33996/s)  best: cx 26 tof 18
[2026-09-25 05:19:59] span_L5_s21_c1_z1_T1   1610s  best 3881/4096  current 3751  kicks 21  iters 54718687 (33981/s)  best: cx 26 tof 18
[2026-09-25 05:20:09] span_L5_s21_c1_z1_T1   1620s  best 3881/4096  current 3765  kicks 21  iters 55031247 (33961/s)  best: cx 26 tof 18
[2026-09-25 05:20:24] span_L5_s21_c1_z1_T1   1635s  best 3881/4096  current 3801  kicks 21  iters 55489772 (33931/s)  best: cx 26 tof 18
[2026-09-25 05:20:34] span_L5_s21_c1_z1_T1   1645s  best 3881/4096  current 3801  kicks 21  iters 55793227 (33907/s)  best: cx 26 tof 18
[2026-09-25 05:20:49] span_L5_s21_c1_z1_T1   1660s  best 3881/4096  current 3801  kicks 21  iters 56289878 (33908/s)  best: cx 26 tof 18
[2026-09-25 05:21:04] span_L5_s21_c1_z1_T1   1675s  best 3881/4096  current 3729  kicks 22  iters 56811062 (33919/s)  best: cx 26 tof 18
