[span_L7_s63_c1_z3_long] start fitness 3232 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 07:48:38] span_L7_s63_c1_z3_long   1896s  best 3745/4096  current 3576  kicks 18  iters 4208992 (2219/s)  best: cx 41 tof 31
[2026-09-25 07:48:53] span_L7_s63_c1_z3_long   1911s  best 3745/4096  current 3585  kicks 18  iters 4239797 (2218/s)  best: cx 41 tof 31
[2026-09-25 07:49:08] span_L7_s63_c1_z3_long   1926s  best 3745/4096  current 3589  kicks 18  iters 4271768 (2218/s)  best: cx 41 tof 31
[2026-09-25 07:49:23] span_L7_s63_c1_z3_long   1941s  best 3745/4096  current 3561  kicks 19  iters 4304725 (2218/s)  best: cx 41 tof 31
[2026-09-25 07:49:37] span_L7_s63_c1_z3_long   1954s  best 3745/4096  current 3650  kicks 19  iters 4342636 (2221/s)  best: cx 41 tof 31
[2026-09-25 07:49:47] span_L7_s63_c1_z3_long   1965s  best 3745/4096  current 3663  kicks 19  iters 4372681 (2225/s)  best: cx 41 tof 31
[2026-09-25 07:49:57] span_L7_s63_c1_z3_long   1975s  best 3745/4096  current 3669  kicks 19  iters 4400665 (2228/s)  best: cx 41 tof 31
[2026-09-25 07:50:07] span_L7_s63_c1_z3_long   1985s  best 3745/4096  current 3675  kicks 19  iters 4429187 (2231/s)  best: cx 41 tof 31
[2026-09-25 07:50:17] span_L7_s63_c1_z3_long   1995s  best 3745/4096  current 3675  kicks 19  iters 4457754 (2234/s)  best: cx 41 tof 31
[2026-09-25 07:50:28] span_L7_s63_c1_z3_long   2005s  best 3745/4096  current 3604  kicks 20  iters 4486068 (2236/s)  best: cx 41 tof 31
[2026-09-25 07:50:43] span_L7_s63_c1_z3_long   2020s  best 3745/4096  current 3606  kicks 20  iters 4525298 (2239/s)  best: cx 41 tof 31
[2026-09-25 07:50:57] span_L7_s63_c1_z3_long   2035s  best 3745/4096  current 3630  kicks 20  iters 4564876 (2242/s)  best: cx 41 tof 31
[2026-09-25 07:51:08] span_L7_s63_c1_z3_long   2045s  best 3745/4096  current 3666  kicks 20  iters 4590762 (2244/s)  best: cx 41 tof 31
[2026-09-25 07:51:18] span_L7_s63_c1_z3_long   2055s  best 3745/4096  current 3670  kicks 20  iters 4615844 (2245/s)  best: cx 41 tof 31
[2026-09-25 07:51:28] span_L7_s63_c1_z3_long   2066s  best 3745/4096  current 3556  kicks 21  iters 4640919 (2246/s)  best: cx 41 tof 31
[2026-09-25 07:51:38] span_L7_s63_c1_z3_long   2076s  best 3745/4096  current 3616  kicks 21  iters 4664604 (2247/s)  best: cx 41 tof 31
[2026-09-25 07:51:48] span_L7_s63_c1_z3_long   2086s  best 3745/4096  current 3620  kicks 21  iters 4687722 (2247/s)  best: cx 41 tof 31
[2026-09-25 07:52:03] span_L7_s63_c1_z3_long   2101s  best 3745/4096  current 3626  kicks 21  iters 4721224 (2246/s)  best: cx 41 tof 31
[2026-09-25 07:52:18] span_L7_s63_c1_z3_long   2116s  best 3745/4096  current 3629  kicks 21  iters 4755419 (2247/s)  best: cx 41 tof 31
[2026-09-25 07:52:28] span_L7_s63_c1_z3_long   2126s  best 3745/4096  current 3564  kicks 22  iters 4778299 (2247/s)  best: cx 41 tof 31
[2026-09-25 07:52:39] span_L7_s63_c1_z3_long   2136s  best 3745/4096  current 3568  kicks 22  iters 4800209 (2246/s)  best: cx 41 tof 31
[2026-09-25 07:52:49] span_L7_s63_c1_z3_long   2147s  best 3745/4096  current 3567  kicks 22  iters 4821356 (2246/s)  best: cx 41 tof 31
[2026-09-25 07:53:04] span_L7_s63_c1_z3_long   2161s  best 3745/4096  current 3568  kicks 22  iters 4852212 (2244/s)  best: cx 41 tof 31
